구분,버스명,AP별 이용량(GB)
마을버스,염동운수_강서07_서울71사2294,270.59323154 
마을버스,포이운수_강남02_서울75사3288,270.55929601 
마을버스,왕금운수_성동01_서울70사5932,270.27069125 
마을버스,대상운수_금천03_서울75사5055,270.17489634 
마을버스,부일교통_서대문01_서울75사5375,270.05007956 
마을버스,광일운수_서초17_서울70사9220,269.22174077 
마을버스,계현운수_서초22_서울70사9300,269.04483046 
마을버스,일원교통_강남01_서울70사9426,268.86694320 
마을버스,신명운수_강동01_서울75사9705,267.97345001 
마을버스,구의교통_광진04_서울71사1007,267.28891023 
마을버스,청록운수_도봉01_서울75사3230,267.09207147 
마을버스,난곡운수_관악10_서울70사9076,266.19226113 
마을버스,스마일버스_강남07_서울75사4101,265.69107082 
마을버스,강동교통_강동05_서울75사9726,265.32736234 
마을버스,한빛운수_광진05_서울70사8542,265.28857462 
마을버스,염동운수_강서06_서울75사8105,265.13290405 
마을버스,사당3동_동작07_서울75사3028,265.09249862 
마을버스,화계운수_강북02_서울75사3137,265.01004025 
마을버스,인헌운수_관악04_서울70사8927,264.96292092 
마을버스,스마일버스_강남07_서울75사3647,264.93289229 
마을버스,신림운수_관악08_서울70사9016,264.48767073 
마을버스,정암운수_마포09_서울74사3969,264.47406039 
